"id";"NIT";"pyme";"ind-sep";"nombre";"CIIU";"constitucion";"estado";"direccionjud";"deptojud";"ciudadjud";"direccion";"depto";"ciudad";"pais";"telefono";"celular";"email";"matricula";"dommatriz";"paismatriz";"revisor";"conceptorev"
17511;"900085354";1;1;"DILENI E.U.";"4729";"19/05/2006";"ACTIVA";"CALLE 23 G 98 38";"BOGOTA D.C.";"FONTIBON-BOGOTA D.C.";"CALLE 23 G 98 38";"BOGOTA D.C.";"FONTIBON-BOGOTA D.C.";"Colombia";"4766819";"3176893798";"DISTRIBUCIONES.DILENI@HOTMAIL.COM";"1599935";"";"";"Si";"03. LIMPIO"
17512;"900044209";1;1;"INVERSIONES BUGALLO HOYOS Y CIA S.C.A";"6810";"22/08/2005";"ACTIVA";"PARQUE INDUSTRIAL MANIZALES 18 16 MALTERIA";"CALDAS";"MANIZALES-CALDAS";"PARQUE INDUSTRIAL MANIZALES 18 16 MALTERIA";"CALDAS";"MANIZALES-CALDAS";"Colombia";"8747475";"3117701587";"gerenciafinanciera@plastigoma.com";"111335";"";"";"Si";"03. LIMPIO"
17513;"900542625";1;1;"RHG CAPITAL SAS";"6820";"31/07/2012";"ACTIVA";"CR 22 102 32 AP 202";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CR 22 102 32 AP 202";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"2023396";"3107743189";"juanpabloruizh@hotmail.com";"2239701";"";"";"No";""
17514;"800172117";1;1;"HR BOBINADOS SAS";"3312";"20/08/1992";"ACTIVA";"CR 42 39 SUR 110";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"CR 42 39 SUR 110";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"4480860";"3006121258";"HRBOBINADOS@UNE.NET.CO";"6656";"";"";"Si";"03. LIMPIO"
17515;"805016278";1;1;"CORTES ZAMORA Y CIA SAS";"4312";"16/02/2000";"ACTIVA";"CALLE 14 65 50";"VALLE";"CALI-VALLE";"CALLE 14 65 50";"VALLE";"CALI-VALLE";"Colombia";"3394994";"3155738334";"servicioalcliente@corteszamoraycia.com";"530362";"";"";"Si";"03. LIMPIO"
17516;"817001072";1;1;"ZALKA S.A.";"0124";"19/02/1997";"ACTIVA";"CR 100 16 321 OF 1001";"VALLE";"CALI-VALLE";"CL 26G 8 09";"VALLE";"TULUA-VALLE";"Colombia";"3937835";"3165235884";"ZALKA97@GMAIL.COM";"39180";"";"";"Si";"03. LIMPIO"
17517;"900611965";1;1;"INVERSIONES GNECCOS SAS";"4731";"05/04/2013";"ACTIVA";"CRA 7 A No 20D-36";"CESAR";"VALLEDUPAR-CESAR";"CRA 7 A No 20D-36";"CESAR";"VALLEDUPAR-CESAR";"Colombia";"5711511";"3162498340";"edsgnecco@hotmail.com";"114187";"";"";"Si";"03. LIMPIO"
17518;"901141000";1;1;"INVERSIONES CREDITOS Y FINANZAS GLOBAL S.A.S.";"8291";"21/12/2017";"ACTIVA";"CR 50 69-68";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"CR 50 69-68";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"Colombia";"3608585";"3126230871";"avillafanez@grupovpglobal.com";"691695";"";"";"Si";"03. LIMPIO"
17519;"890305466";1;1;"COMPAÑIA NACIONAL DE BRONCES SAS";"2432";"04/06/1970";"ACTIVA";"CARRERA 29A # 10 - 202";"VALLE";"YUMBO-VALLE";"CARRERA 29A # 10 - 202";"VALLE";"YUMBO-VALLE";"Colombia";"6954531";"3137847893";"conalbronces@hotmail.com";"5574-16";"";"";"Si";"03. LIMPIO"
17520;"890936976";1;1;"RENDON OCHOA Y CIA SCA";"6810";"28/11/1984";"ACTIVA";"CL 12 B SUR # 51 B 40";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"CL 12 B SUR # 51 B 40";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"4445371";"3105061643";"CONTABILIDADR@CIALMASEG.COM";"21-220120-07";"";"";"Si";"03. LIMPIO"
17521;"901148066";1;1;"DISTRIBUCIONES TIERRA FERTIL SAS ";"4664";"18/01/2018";"ACTIVA";"CRA 13A # 6-65 MERCADO PUBLICO";"NORTE DE SANTANDER";"OCANA-NORTE DE SANTANDER";"CRA 13 # 6-65 MERCADO PUBLICO";"NORTE DE SANTANDER";"OCANA-NORTE DE SANTANDER";"Colombia";"5624341";"3134213201";"cartera@tierrafertil.com.co";"31720";"";"";"Si";"03. LIMPIO"
17522;"900614357";1;1;"INGEOCHO SAS";"4290";"15/04/2013";"ACTIVA";"AC 127 16 A 76 OF 703";"BOGOTA D.C.";"USAQUEN-BOGOTA D.C.";"AC 127 16 A 76 OF 703";"BOGOTA D.C.";"USAQUEN-BOGOTA D.C.";"Colombia";"3003206";"3107853591";"educadu@cable.net.co";"2312083";"";"";"Si";"03. LIMPIO"
17523;"900577476";1;1;"AYALA CONSTRUCCIONES LTDA";"4111";"28/11/2012";"ACTIVA";"CR 11 146 75/91 AP 1301";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CR 11 146 75/91";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"9277010";"3143946903";"ACONSTRUCCIONESLTDA@HOTMAIL.COM";"2278158";"";"";"Si";"03. LIMPIO"
17524;"900294384";1;1;"AW FABER CASTELL & TH REFORESTATION SAS";"0210";"12/06/2009";"ACTIVA";"CARRERA 55 # 100 - 51 OF 708";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"CARRERA 55 # 100 - 51 OF 708";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"Colombia";"3855658";"3135344512";"info@threforestacion.com";"480702";"";"";"Si";"03. LIMPIO"
17525;"900394870";1;1;"INGNIERIA CIVIL & AMBIENTAL - INGENIEROS CONSULTORES SAS - EN REORGANIZACION";"7110";"08/11/2010";"ACUERDO DE REORGANIZACION";"CL 48 B 79 55 OFC 101";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"CL 48B 78 55 OFC 101";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"5804381";"3167415884";"elber-hernnadez@gmail.com";"2143958512";"";"";"No";""
17526;"891901627";1;1;"SANIN ANGEL Y CIA. SAS";"4312";"13/10/1976";"ACTIVA";"CRA 4  20 39";"VALLE";"CARTAGO-VALLE";"CRA 4  20  39";"VALLE";"CARTAGO-VALLE";"Colombia";"2127027";"3127918161";"secretaria@saninangel.com.co";"3497";"";"";"Si";""
17527;"860510456";1;1;"INDUSTRIAS DIAZ HNOS LTDA";"2410";"04/11/1982";"ACTIVA";"CRA 77 K NO 65 B 67 SUR ";"BOGOTA D.C.";"BOSA-BOGOTA D.C.";"CRA 77 K NO 65 B 67 SUR";"BOGOTA D.C.";"BOSA-BOGOTA D.C.";"Colombia";"7761997";"3176462034";"SERVICLIENTE@INDUSTRIASDIAZ.COM";"192035";"";"";"No";""
17528;"811042079";1;1;"CP DIESSEL INTERNATIONAL SAS";"4530";"30/07/2003";"ACTIVA";"CR 61 45 38";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"CR 61 45 38";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"4482025";"3128322190";"maria.molina@cpdiessel.com";"2132039412";"";"";"Si";"03. LIMPIO"
17529;"900363906";1;1;"LAGEX SAS EN REORGANIZACION";"1630";"17/06/2010";"ACUERDO DE REORGANIZACION";"CL 145 15 36 IN 3 AP 302";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CL 145 15 36 IN 3 AP 302";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"3068322";"3102306669";"infolagex@lagexsas.com";"2000618";"";"";"No";""
17530;"860036122";1;1;"INVERSIONES SALAZAR ARIAS LTDA";"6810";"09/07/1973";"ACTIVA";"CRA 13A 89 53 OFC 401";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CRA 13A 89 -53 OFC 401";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"2362792";"3102187278";"LOSHOYOSSALAZARYCIA@HOTMAIL.COM";"38232";"";"";"Si";"03. LIMPIO"
17531;"830055827";1;1;"GRANADOS Y CONDECORACIONES SAS";"3210";"24/11/1998";"ACTIVA";"Carrera 21 16 70";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Carrera 21 16 70";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"2370771";"3108677028";"helenagcontador@granadosycondecoraciones.com";"927114";"";"";"Si";"03. LIMPIO"
17532;"900398338";1;1;"AGROGANADERO DEL CARIBE SAS";"4664";"30/11/2010";"ACTIVA";"KRA 46 75 94";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"KRA 46 75 94";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"Colombia";"3586162";"3233652681";"CONTABILIDAD@AGROGANADERODELCARIBE.COM.CO";"164483";"";"";"Si";"03. LIMPIO"
17533;"900860017";1;1;"CONCRETOS Y AGREGADOS GEOACOPIO SAS";"2395";"02/06/2015";"ACTIVA";"LT 3 H PARQUE INDUSTRIAL";"CAUCA";"POPAYAN-CAUCA";"LT 3 H PARQUE INDUSTRIAL";"CAUCA";"POPAYAN-CAUCA";"Colombia";"8249797";"3173769544";"contabilidadgeoacopio@gmail.com";"151465";"";"";"Si";"03. LIMPIO"
17534;"900427247";1;1;"CONSTRUCTORA TORRES DE GRANADA SAS";"4111";"07/04/2011";"ACTIVA";"CARRERA 14 86A 76";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CARRERA 14 86A 76";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"6236523";"3118117112";"smpedraza2014@hotmail.com";"2085833";"";"";"Si";"03. LIMPIO"
17535;"900024071";1;1;"AUTO SERVICIO LA CATORCE LTDA";"4711";"18/07/2005";"ACTIVA";"CLL 7 7 03";"CUNDINAMARCA";"MADRID-CUNDINAMARCA";"CUNDINAMARCA";"CUNDINAMARCA";"MADRID-CUNDINAMARCA";"Colombia";"8250544";"3118268116";"autoserviciola14@hotmail.com";"40656";"";"";"Si";"03. LIMPIO"
17536;"800196583";1;1;"WILLTEX LTDA";"4669";"19/04/1993";"ACTIVA";"CR 28 77 29 ";"BOGOTA D.C.";"BARRIOS-UNIDOS-BOGOTA D.C.";"CR 28 77 29";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"8054939";"3134396784";"contabilidad@willtex.co";"548210";"";"";"Si";"03. LIMPIO"
17537;"900305897";1;1;"IMAGEN. J.R S.A.S";"2599";"14/08/2009";"ACUERDO DE REORGANIZACION";"CR 57 NO. 44 B 22 ";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CR 57 NO. 44 B 22 ";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"3155845";"3142386735";"contabilidad.imagenjr@gmail.com";"1922055";"";"";"No";""
17538;"830505120";1;1;"INSUMEDICAL LTDA";"4645";"30/09/2004";"ACTIVA";"Cra 59 N 75 121";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"Cra 59 N 75 121";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"Colombia";"3680100";"3017671328";"asistentecontable@insumedical.com";"382202";"";"";"Si";"03. LIMPIO"
17539;"805027939";1;1;"MYL DE COLOMBIA SAS";"4771";"15/08/2003";"ACTIVA";"CL 11 100 121 OFI 314";"VALLE";"CALI-VALLE";"CL 11 100 121 OFIC 314";"VALLE";"CALI-VALLE";"Colombia";"3797200";"3155266687";"CONTABILIDAD@MYL.COM.CO";"616125-16";"";"";"Si";"03. LIMPIO"
17540;"813007720";1;1;"BABILLOS FIHS SAS";"0322";"10/04/2001";"ACUERDO DE REORGANIZACION";"calle 7 24a- 16";"HUILA";"NEIVA-HUILA";"calle 7 24a- 16";"HUILA";"NEIVA-HUILA";"Colombia";"8732505";"3102570416";"babillosfish@gmail.com";"110234";"";"";"Si";"03. LIMPIO"
17541;"900285364";1;1;"983707";"4663";"21/05/2009";"ACTIVA";"AV 14 19 20 BG 2";"META";"PUERTO-LOPEZ-META";"AV 14 19 20 BG 2 ";"META";"PUERTO-LOPEZ-META";"Colombia";"6450499";"3203028709";"ferreterialosprimos@gmail.com";"183969";"";"";"No";""
17542;"900181417";1;1;"AGROCARBONES S.A.S";"0510";"18/10/2007";"ACTIVA";"CR 4 70 68";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CR 4 70 68";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"3103320";"3167438251";"jomaca1co@yahoo.com";"1747824";"";"";"Si";"03. LIMPIO"
17543;"811015624";1;1;"Viento en Popa Nuevo S.A.S.";"0150";"08/06/1998";"ACTIVA";"Cl. 11 43 B 50 Of.308";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Cl. 11 43 b 50 Of.308";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"3523552";"3122893827";"jmgomezd@gmail.com";"244152";"";"";"Si";"03. LIMPIO"
17544;"900012071";1;1;"Inversiones Inmobiliarias Global S.A.S.";"6810";"04/10/2005";"ACTIVA";"Cl. 48 57-87 P.8";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"cL. 48 57-87 P.8";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"5129930";"3002917882";"hgutierrez50@hotmail.com";"342028";"";"";"Si";"03. LIMPIO"
17545;"901187766";1;1;"IINVERSIONES A FUTURO SAS";"6619";"30/05/2018";"ACTIVA";"CRA 16 A  76 73";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CRA 31 A 25 A 07";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"2444163";"3108667730";"aveadmon@hotmail.com";"2970932";"";"";"No";""
17546;"830074842";1;1;"AMTRADE SAS";"6499";"18/07/2000";"ACTIVA";"CL 18 69F-05";"BOGOTA D.C.";"TUNJUELITO-BOGOTA D.C.";"CL 18 69F-05";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"7431153";"3015353970";"acamacho@constructorahhc.com";"1030150";"";"";"Si";"03. LIMPIO"
17547;"900655519";1;1;"DRAGA INGENIERIA SAS ";"4210";"17/09/2013";"ACTIVA";"CL 8 6 36 INT 2";"CUNDINAMARCA";"MADRID-CUNDINAMARCA";"CL 8 6 36 INT 2";"CUNDINAMARCA";"MADRID-CUNDINAMARCA";"Colombia";"8282028";"3168308771";"DRAGAINGENIERIASAS@GMAIL.COM";"2366053";"";"";"Si";"03. LIMPIO"
17548;"900565848";1;1;"CONSTRUCTORA TORRES DE CADIZ SAS";"4111";"21/09/2012";"ACTIVA";"CARRERA 14 86A 76";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CARRERA 14 86A 76";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"6369056";"3118117112";"smpedraza2014@hotmail.com";"2268812";"";"";"Si";"03. LIMPIO"
17549;"815001055";1;1;"MICRONET SAS";"4651";"22/07/1997";"ACTIVA";"CARRERA 28 54 84";"VALLE";"PALMIRA-VALLE";"CARRERA 28 54 84";"VALLE";"PALMIRA-VALLE";"Colombia";"2864668";"3136159393";"micronet@micronetsas.com.co";"40709";"";"";"Si";"03. LIMPIO"
17550;"900682571";1;1;"BIOCOMBUSTIBLES DE COLOMBIA Y SANTANDER SAS";"4731";"02/12/2013";"ACTIVA";"CR 17 48 09";"SANTANDER";"BUCARAMANGA-SANTANDER";"CR 17 48 ";"SANTANDER";"BUCARAMANGA-SANTANDER";"Colombia";"6427575";"3175151413";"estacion-deservicio@hotmail.com";"05-282173-16";"";"";"Si";"03. LIMPIO"
17551;"807004467";1;1;"MUÑOZ Y CIA SAS";"4321";"14/02/2000";"ACTIVA";"AV 1 N° 19-91 BARRIO BLANCO";"NORTE DE SANTANDER";"CUCUTA-NORTE DE SANTANDER";"AV 1 N° 19-61 BARRIO BLANCO";"NORTE DE SANTANDER";"CUCUTA-NORTE DE SANTANDER";"Colombia";"5716565";"3208473258";"INFO@MUNOZYCIA.COM";"92515";"";"";"Si";"03. LIMPIO"
17552;"800234804";1;1;"ROMOBHA SAS";"4530";"19/07/1994";"ACTIVA";"CRA 7 No 5 -20 SUR";"HUILA";"NEIVA-HUILA";"CRA 7 No.5-20 SUR";"HUILA";"NEIVA-HUILA";"Colombia";"8733100";"3102480244";"romobha@yahoo.com";"65667-03";"";"";"No";""
17553;"900475368";1;1;"CERPALMAS S.A.S";"0144";"28/10/2011";"ACTIVA";"CARRERA 23 No 18-10";"CALDAS";"MANIZALES-CALDAS";"CARRERA 23 No 18-10";"CALDAS";"MANIZALES-CALDAS";"Colombia";"8822900";"3148963541";"luzmapavaq@hotmail.com";"148661";"";"";"Si";"03. LIMPIO"
17554;"900265799";1;1;"AMAGRAN SAS";"4690";"09/02/2009";"ACTIVA";"CR 39 No 37 SUR 48";"ANTIOQUIA";"ENVIGADO-ANTIOQUIA";"CR 39 No 37 SUR 48";"ANTIOQUIA";"ENVIGADO-ANTIOQUIA";"Colombia";"2709029";"3105129851";"contabilidad@amagran.com.co";"130368";"";"";"Si";"03. LIMPIO"
17555;"900326270";1;1;"SUPERMERCADO PANORAMA SAS";"4711";"24/11/2009";"ACTIVA";"CARRERA 5 N.9-98";"SANTANDER";"PIEDECUESTA-SANTANDER";"CARRERA 5 N.9-98";"SANTANDER";"PIEDECUESTA-SANTANDER";"Colombia";"6559807";"3182185274";"marthaliliuribe@yahoo.com";"178229";"";"";"Si";"03. LIMPIO"
17556;"890501520";1;1;"DROGUERIA GUASIMALES LTDA";"4773";"06/11/1973";"ACTIVA";"AV 6 9 01";"NORTE DE SANTANDER";"CUCUTA-NORTE DE SANTANDER";"AV 6 9 01";"NORTE DE SANTANDER";"CUCUTA-NORTE DE SANTANDER";"Colombia";"5713542";"3158621907";"gerencia@droguriasguasimales.com";"3470";"";"";"Si";"03. LIMPIO"
17557;"900155599";1;1;"INVERSIONES MARLU S.A.";"6810";"05/06/2007";"ACTIVA";"TV 60 115 58 TO B OF 317";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"TV 60 115 58 TO B OF 317";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"2363298";"3153472170";"depositariomarlusa@yahoo.com";"1712326";"";"";"Si";"03. LIMPIO"
17558;"900217800";1;1;"BIGPHARMA SAS";"4645";"28/04/2008";"ACTIVA";"CARRERA 40 No 18-36 PALERMO";"NARINO";"PASTO-NARINO";"CARRERA 40 No 18-36 PALERMO";"NARINO";"PASTO-NARINO";"Colombia";"7294243";"3117172375";"bigpharma.s.a@hotmail.com";"119169";"";"";"Si";"03. LIMPIO"
17559;"900759079";1;1;"INGENIERIA EN BPO SAS";"8292";"12/08/2014";"ACTIVA";"KM 24 VIA CALI SANTANDER  EN LA Y  PARQUE SUR";"CAUCA";"VILLA-RICA-CAUCA";"KM 24 VIA CALI SANTANDER EN LA Y PARQUE SUR";"CAUCA";"VILLA-RICA-CAUCA";"Colombia";"4857371";"3113836919";"contable@ienm.co";"144951";"";"";"No";""
17560;"900027619";1;1;"TRANSMISIONES SAS";"4659";"31/05/2005";"ACTIVA";"CRA 69B No. 21A - 24";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CRA 69B No. 21A - 24";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"4126898";"3167327132";"JRMORA@TRANSMISIONES.DE";"1487057";"";"";"Si";"03. LIMPIO"
17561;"890325192";1;1;"DETECTO DE COLOMBIA LTDA";"7120";"23/01/1984";"ACTIVA";"CL 5B4 38 75";"VALLE";"CALI-VALLE";"CL 5B4 38 75";"VALLE";"CALI-VALLE";"Colombia";"5586060";"3128669342";"contabilidad@detectodecolombia.com";"132614-3";"";"";"Si";"03. LIMPIO"
17562;"900630076";1;1;"ZAROCONSTRUC SAS";"4111";"25/06/2013";"ACTIVA";"CLL 38 32-41 OF 1505";"META";"VILLAVICENCIO-META";"CLL 38 32-41 OF 1505";"META";"VILLAVICENCIO-META";"Colombia";"6624194";"3163559853";"ZAROCONSTRUC@HOTMAIL.COM";"251127";"";"";"Si";"03. LIMPIO"
17563;"900193641";1;1;"MAYASOFT INGENIERIA LTDA ";"6201";"14/01/2008";"ACTIVA";"CARRERA 32 N 49-44";"SANTANDER";"BUCARAMANGA-SANTANDER";"CARRERA 32 N 49-44";"SANTANDER";"BUCARAMANGA-SANTANDER";"Colombia";"6475802";"3002133793";"info@mayasoft.com.co";"05-145784-03";"";"";"Si";"03. LIMPIO"
17564;"901037183";1;1;"FERRETERIA PUNTO AMARILLO YARUMAL S.A.S.";"4663";"01/11/2016";"ACTIVA";"Carrera 20 21 63";"ANTIOQUIA";"YARUMAL-ANTIOQUIA";"Carrera 20 21 63";"ANTIOQUIA";"YARUMAL-ANTIOQUIA";"Colombia";"8871279";"3217826470";"administrativo@puntoamarillo.co";"57637012";"";"";"Si";"03. LIMPIO"
17565;"901067369";1;1;"CONSTRUCCIONES PUNTO AMARILLO S.A.S.";"4111";"01/03/2017";"ACTIVA";"Carrera 20 21 63";"ANTIOQUIA";"YARUMAL-ANTIOQUIA";"Carrera 20 21 63";"ANTIOQUIA";"YARUMAL-ANTIOQUIA";"Colombia";"4887222";"3116344207";"administrativo@puntoamarillo.co";"58524312";"";"";"Si";"03. LIMPIO"
17566;"800237463";1;1;"INMOCENTE S.A.S";"1610";"05/08/1994";"ACTIVA";"AUT.MEDELLIN-BOGOTA KM 39  SECTOR  BELEN GALICIA";"ANTIOQUIA";"RIONEGRO-ANTIOQUIA";"AUT.MEDELLIN-BOGOTA KM 39  SECTOR  BELEN GALICIA";"ANTIOQUIA";"RIONEGRO-ANTIOQUIA";"Colombia";"3223902";"3122973653";"informacion@inmocente.com";"22669";"";"";"Si";"03. LIMPIO"
17567;"900409346";1;1;"SSANGYONG EXPRESS SAS EN REORGANIZACION";"4520";"06/01/2011";"ACUERDO DE REORGANIZACION";"CALLE 129B 58B 50";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CALLE 129B 58B 50";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"4929485";"3102350778";"caravega@yahoo.com";"2058737";"";"";"No";""
17568;"860068910";1;1;"PROYECTOS ESTRUCTURALES LTDA";"7110";"07/02/1979";"ACUERDO DE REESTRUCTURACIÓN";"Calle 106 A No 54 - 81 Apto 206 ";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Km 15 Via Guaymaral - Fortin San Fernando # 1 ";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"6763465";"3106963643";"medinagallo@outlook.com";"114459";"";"";"No";""
17569;"900217571";1;1;"JV INVERSIONES JHLV SAS";"0162";"11/04/2011";"ACTIVA";"AVENIDA EL PALAMR VIA LA CACEL";"CALDAS";"LA-DORADA-CALDAS";"AVENIDA EL PALMAR VIA LA CARCEL";"CALDAS";"LA-DORADA-CALDAS";"Colombia";"8546498";"3103041480";"gerencia@dorexpo.com";"42641";"";"";"Si";"03. LIMPIO"
